rank,city,state,population,percent
1,New York,New York,8405837,4.80%
2,Los Angeles,California,3884307,4.80%
3,Chicago,Illinois,2718782,-6.10%
4,Houston,Texas,2195914,11.00%
5,Philadelphia,Pennsylvania,1553165,2.60%
6,Phoenix,Arizona,1513367,14.00%
7,San Antonio,Texas,1409019,21.00%
8,San Diego,California,1355896,10.50%
9,Dallas,Texas,1257676,5.60%
10,San Jose,California,998537,10.50%
11,Austin,Texas,885400,31.70%
12,Indianapolis,Indiana,843393,7.80%
13,Jacksonville,Florida,842583,14.30%
14,San Francisco,California,837442,7.70%
15,Columbus,Ohio,822553,14.80%
16,Charlotte,North Carolina,792862,39.10%
17,Fort Worth,Texas,792727,45.10%
18,Detroit,Michigan,688701,-27.10%
19,El Paso,Texas,674433,19.40%
20,Memphis,Tennessee,653450,-5.30%
21,Seattle,Washington,652405,15.60%
22,Denver,Colorado,649495,16.70%
23,Washington,District of Columbia,646449,13.00%
24,Boston,Massachusetts,645966,9.40%
25,Nashville-Davidson,Tennessee,634464,16.20%
26,Baltimore,Maryland,622104,-4.00%
27,Oklahoma City,Oklahoma,610613,20.20%
28,Louisville/Jefferson County,Kentucky,609893,10.00%
29,Portland,Oregon,609456,15.00%
30,Las Vegas,Nevada,603488,24.50%
31,Milwaukee,Wisconsin,599164,0.30%
32,Albuquerque,New Mexico,556495,23.50%
33,Tucson,Arizona,526116,7.50%
34,Fresno,California,509924,18.30%
35,Sacramento,California,479686,17.20%
36,Long Beach,California,469428,1.50%
37,Kansas City,Missouri,467007,5.50%
38,Mesa,Arizona,457587,13.50%
39,Virginia Beach,Virginia,448479,5.10%
40,Atlanta,Georgia,447841,6.20%
41,Colorado Springs,Colorado,439886,21.40%
42,Omaha,Nebraska,434353,5.90%
43,Raleigh,North Carolina,431746,48.70%
44,Miami,Florida,417650,14.90%
45,Oakland,California,406253,1.30%
46,Minneapolis,Minnesota,400070,4.50%
47,Tulsa,Oklahoma,398121,1.30%
48,Cleveland,Ohio,390113,-18.10%
49,Wichita,Kansas,386552,9.70%
50,Arlington,Texas,379577,13.30%
51,New Orleans,Louisiana,378715,-21.60%
52,Bakersfield,California,363630,48.40%
53,Tampa,Florida,352957,16.00%
54,Honolulu,Hawaii,347884,-6.20%
55,Aurora,Colorado,345803,24.40%
56,Anaheim,California,345012,4.70%
57,Santa Ana,California,334227,-1.20%
58,St. Louis,Missouri,318416,-8.20%
59,Riverside,California,316619,22.50%
60,Corpus Christi,Texas,316381,14.10%
61,Lexington-Fayette,Kentucky,308428,18.00%
62,Pittsburgh,Pennsylvania,305841,-8.30%
63,Anchorage,Alaska,300950,15.40%
64,Stockton,California,298118,21.80%
65,Cincinnati,Ohio,297517,-10.10%
66,St. Paul,Minnesota,294873,2.80%
67,Toledo,Ohio,282313,-10.00%
68,Greensboro,North Carolina,279639,22.30%
69,Newark,New Jersey,278427,2.10%
70,Plano,Texas,274409,22.40%
71,Henderson,Nevada,270811,51.00%
72,Lincoln,Nebraska,268738,18.00%
73,Buffalo,New York,258959,-11.30%
74,Jersey City,New Jersey,257342,7.20%
75,Chula Vista,California,256780,46.20%
76,Fort Wayne,Indiana,256496,1.00%
77,Orlando,Florida,255483,31.20%
78,St. Petersburg,Florida,249688,0.30%
79,Chandler,Arizona,249146,38.70%
80,Laredo,Texas,248142,38.20%
81,Norfolk,Virginia,246139,5.00%
82,Durham,North Carolina,245475,29.90%
83,Madison,Wisconsin,243344,15.80%
84,Lubbock,Texas,239538,19.60%
85,Irvine,California,236716,61.30%
86,Winston-Salem,North Carolina,236441,16.90%
87,Glendale,Arizona,234632,5.70%
88,Garland,Texas,234566,8.50%
89,Hialeah,Florida,233394,3.20%
90,Reno,Nevada,233294,26.80%
91,Chesapeake,Virginia,230571,15.10%
92,Gilbert,Arizona,229972,96.00%
93,Baton Rouge,Louisiana,229426,0.40%
94,Irving,Texas,228653,19.10%
95,Scottsdale,Arizona,226918,11.00%
96,North Las Vegas,Nevada,226877,92.20%
97,Fremont,California,224922,10.00%
98,Boise City,Idaho,214237,9.50%
99,Richmond,Virginia,214114,8.20%
100,San Bernardino,California,213708,13.00%
101,Birmingham,Alabama,212113,-12.30%
102,Spokane,Washington,210721,7.00%
103,Rochester,New York,210358,-4.10%
104,Des Moines,Iowa,207510,3.90%
105,Modesto,California,204933,7.70%
106,Fayetteville,North Carolina,204408,2.40%
107,Tacoma,Washington,203446,4.90%
108,Oxnard,California,203007,18.20%
109,Fontana,California,203003,38.30%
110,Columbus,Georgia,202824,8.70%
111,Montgomery,Alabama,201332,-0.10%
112,Moreno Valley,California,201175,40.40%
113,Shreveport,Louisiana,200327,-0.10%
114,Aurora,Illinois,199963,38.40%
115,Yonkers,New York,199766,1.80%
116,Akron,Ohio,198100,-8.60%
117,Huntington Beach,California,197575,3.90%
118,Little Rock,Arkansas,197357,7.60%
119,Augusta-Richmond County,Georgia,197350,1.10%
120,Amarillo,Texas,196429,12.80%
121,Glendale,California,196021,0.30%
122,Mobile,Alabama,194899,-1.90%
123,Grand Rapids,Michigan,192294,-2.80%
124,Salt Lake City,Utah,191180,5.10%
125,Tallahassee,Florida,186411,21.80%
126,Huntsville,Alabama,186254,16.30%
127,Grand Prairie,Texas,183372,43.10%
128,Knoxville,Tennessee,183270,3.90%
129,Worcester,Massachusetts,182544,5.80%
130,Newport News,Virginia,182020,0.90%
131,Brownsville,Texas,181860,26.80%
132,Overland Park,Kansas,181260,19.40%
133,Santa Clarita,California,179590,15.30%
134,Providence,Rhode Island,177994,2.30%
135,Garden Grove,California,175140,5.80%
136,Chattanooga,Tennessee,173366,10.50%
137,Oceanside,California,172794,6.60%
138,Jackson,Mississippi,172638,-6.80%
139,Fort Lauderdale,Florida,172389,0.70%
140,Santa Rosa,California,171990,15.20%
141,Rancho Cucamonga,California,171386,32.70%
142,Port St. Lucie,Florida,171016,91.70%
143,Tempe,Arizona,168228,5.80%
144,Ontario,California,167500,5.50%
145,Vancouver,Washington,167405,14.20%
146,Cape Coral,Florida,165831,60.40%
147,Sioux Falls,South Dakota,164676,31.10%
148,Springfield,Missouri,164122,7.80%
149,Peoria,Arizona,162592,46.50%
150,Pembroke Pines,Florida,162329,17.40%
151,Elk Grove,California,161007,97.10%
152,Salem,Oregon,160614,16.40%
153,Lancaster,California,159523,33.80%
154,Corona,California,159503,23.60%
155,Eugene,Oregon,159190,14.40%
156,Palmdale,California,157161,33.70%
157,Salinas,California,155662,8.40%
158,Springfield,Massachusetts,153703,1.10%
159,Pasadena,Texas,152735,7.50%
160,Fort Collins,Colorado,152061,26.60%
161,Hayward,California,151574,7.50%
162,Pomona,California,151348,2.10%
163,Cary,North Carolina,151088,55.10%
164,Rockford,Illinois,150251,-1.00%
165,Alexandria,Virginia,148892,15.00%
166,Escondido,California,148738,10.70%
167,McKinney,Texas,148559,165.30%
168,Kansas City,Kansas,148483,1.10%
169,Joliet,Illinois,147806,36.50%
170,Sunnyvale,California,147559,11.90%
171,Torrance,California,147478,6.60%
172,Bridgeport,Connecticut,147216,5.40%
173,Lakewood,Colorado,147214,1.90%
174,Hollywood,Florida,146526,4.80%
175,Paterson,New Jersey,145948,-2.20%
176,Naperville,Illinois,144864,12.00%
177,Syracuse,New York,144669,-0.90%
178,Mesquite,Texas,143484,14.70%
179,Dayton,Ohio,143355,-13.50%
180,Savannah,Georgia,142772,7.50%
181,Clarksville,Tennessee,142357,36.90%
182,Orange,California,139969,7.70%
183,Pasadena,California,139731,3.80%
184,Fullerton,California,138981,9.80%
185,Killeen,Texas,137147,52.10%
186,Frisco,Texas,136791,287.70%
187,Hampton,Virginia,136699,-6.60%
188,McAllen,Texas,136639,27.60%
189,Warren,Michigan,134873,-2.30%
190,Bellevue,Washington,133992,19.10%
191,West Valley City,Utah,133579,22.20%
192,Columbia,South Carolina,133358,11.70%
193,Olathe,Kansas,131885,40.40%
194,Sterling Heights,Michigan,131224,5.20%
195,New Haven,Connecticut,130660,5.50%
196,Miramar,Florida,130288,74.70%
197,Waco,Texas,129030,12.50%
198,Thousand Oaks,California,128731,9.50%
199,Cedar Rapids,Iowa,128429,5.40%
200,Charleston,South Carolina,127999,29.20%
201,Visalia,California,127763,33.60%
202,Topeka,Kansas,127679,3.40%
203,Elizabeth,New Jersey,127558,5.50%
204,Gainesville,Florida,127488,12.80%
205,Thornton,Colorado,127359,52.90%
206,Roseville,California,127035,56.20%
207,Carrollton,Texas,126700,14.90%
208,Coral Springs,Florida,126604,5.70%
209,Stamford,Connecticut,126456,7.60%
210,Simi Valley,California,126181,12.60%
211,Concord,California,125880,2.90%
212,Hartford,Connecticut,125017,0.60%
213,Kent,Washington,124435,54.30%
214,Lafayette,Louisiana,124276,11.00%
215,Midland,Texas,123933,30.40%
